epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
       296, 5700.045,     0.01,       0.00032484,       1.4451e-05,         0.032498,       0.0194,       0.0137,        0.012,       0.0115,       0.0142,      0.00306,       0.00026091,       1.4233e-07,         0.026091,       0.0164,       0.0113,       0.0124,       0.0115,       0.0129,     0.000302
       297, 5719.290,     0.01,       0.00034067,       1.9147e-05,         0.034086,       0.0206,       0.0143,       0.0115,       0.0111,       0.0144,      0.00353,       0.00026052,       7.7475e-08,         0.026052,       0.0164,       0.0113,       0.0123,       0.0114,       0.0128,     0.000219
       298, 5738.484,     0.01,       0.00032484,       8.8678e-06,         0.032493,       0.0198,       0.0138,       0.0119,        0.011,       0.0141,       0.0024,       0.00026021,        3.957e-08,         0.026021,       0.0164,       0.0112,       0.0123,       0.0114,       0.0128,     0.000159
       299, 5757.686,     0.01,       0.00033988,       8.8885e-06,         0.033997,       0.0205,       0.0144,       0.0116,       0.0109,       0.0144,       0.0024,       0.00025913,       4.7794e-08,         0.025913,       0.0164,       0.0112,       0.0123,       0.0114,       0.0128,     0.000174
       300, 5776.931,     0.01,       0.00031846,       1.2509e-05,         0.031859,       0.0193,       0.0136,       0.0119,       0.0114,        0.014,      0.00285,       0.00025856,       3.7378e-08,         0.025857,       0.0163,       0.0112,       0.0123,       0.0114,       0.0128,     0.000152
       301, 5796.115,     0.01,       0.00033171,       9.6898e-06,         0.033181,       0.0201,        0.014,       0.0116,       0.0113,       0.0142,       0.0025,       0.00025766,        3.276e-08,         0.025766,       0.0163,       0.0112,       0.0123,       0.0114,       0.0128,     0.000144
       302, 5815.336,     0.01,       0.00034184,       1.1922e-05,         0.034196,       0.0195,       0.0136,       0.0123,        0.013,       0.0146,      0.00278,         0.000258,       8.3944e-08,           0.0258,       0.0163,       0.0112,       0.0123,       0.0114,       0.0128,     0.000227
       303, 5834.589,     0.01,       0.00031964,       1.2326e-05,         0.031976,       0.0196,       0.0137,       0.0117,       0.0111,        0.014,      0.00282,       0.00025653,       4.1165e-08,         0.025653,       0.0163,       0.0112,       0.0122,       0.0114,       0.0128,     0.000167
       304, 5853.783,     0.01,       0.00032641,       1.3071e-05,         0.032654,       0.0199,       0.0138,       0.0117,       0.0111,       0.0141,      0.00291,       0.00025579,       3.5203e-08,          0.02558,       0.0163,       0.0112,       0.0122,       0.0113,       0.0127,      0.00015
       305, 5872.967,     0.01,       0.00033828,       1.2776e-05,         0.033841,       0.0204,       0.0142,       0.0115,       0.0113,       0.0144,      0.00287,         0.000256,       6.1493e-08,           0.0256,       0.0163,       0.0112,       0.0122,       0.0113,       0.0127,     0.000197
       306, 5892.147,     0.01,       0.00032623,       1.3052e-05,         0.032636,       0.0197,       0.0135,       0.0119,       0.0116,       0.0142,      0.00291,       0.00025622,       5.0002e-08,         0.025622,       0.0163,       0.0112,       0.0123,       0.0114,       0.0128,     0.000181
       307, 5911.311,     0.01,       0.00031808,       1.1156e-05,         0.031819,       0.0196,       0.0138,       0.0115,        0.011,        0.014,      0.00269,       0.00025423,       6.8503e-08,         0.025423,       0.0162,       0.0111,       0.0122,       0.0113,       0.0127,     0.000209
       308, 5930.550,     0.01,       0.00034629,       1.3881e-05,         0.034643,       0.0204,       0.0142,       0.0119,       0.0118,       0.0146,        0.003,       0.00025448,       6.9354e-08,         0.025449,       0.0162,       0.0111,       0.0122,       0.0113,       0.0127,     0.000213
       309, 5949.748,     0.01,        0.0003037,       8.2122e-06,         0.030378,       0.0188,       0.0132,       0.0114,       0.0113,       0.0137,      0.00231,       0.00025349,       3.4122e-08,         0.025349,       0.0162,       0.0111,       0.0121,       0.0113,       0.0127,      0.00015
       310, 5968.977,     0.01,       0.00030356,       1.1118e-05,         0.030367,       0.0191,       0.0133,       0.0115,       0.0108,       0.0137,      0.00269,       0.00025226,       5.9544e-08,         0.025226,       0.0162,       0.0111,       0.0121,       0.0112,       0.0126,     0.000194
       311, 5988.142,     0.01,       0.00035171,       1.0621e-05,         0.035181,       0.0209,       0.0145,       0.0114,       0.0116,       0.0146,      0.00263,       0.00025258,       2.9859e-08,         0.025258,       0.0162,       0.0111,       0.0121,       0.0112,       0.0126,     0.000136
       312, 6007.328,     0.01,       0.00030541,       1.1032e-05,         0.030552,        0.019,       0.0133,       0.0114,       0.0111,       0.0137,      0.00268,       0.00025145,       3.4952e-08,         0.025145,       0.0161,        0.011,       0.0121,       0.0112,       0.0126,     0.000148
       313, 6026.532,     0.01,       0.00030215,       1.1436e-05,         0.030227,       0.0188,       0.0132,       0.0116,        0.011,       0.0137,      0.00272,       0.00025132,        2.814e-08,         0.025132,       0.0161,        0.011,       0.0121,       0.0112,       0.0126,     0.000133
       314, 6045.748,     0.01,       0.00032045,       1.1631e-05,         0.032056,       0.0199,       0.0139,       0.0114,       0.0105,       0.0139,      0.00275,       0.00025026,       3.2577e-08,         0.025026,       0.0161,        0.011,       0.0121,       0.0112,       0.0126,     0.000144
       315, 6064.998,     0.01,       0.00030011,       6.7498e-06,         0.030018,       0.0187,        0.013,       0.0118,       0.0109,       0.0136,      0.00209,       0.00024953,        3.304e-08,         0.024953,       0.0161,        0.011,        0.012,       0.0112,       0.0126,     0.000145
       316, 6084.250,     0.01,       0.00032574,       1.3312e-05,         0.032587,         0.02,       0.0142,       0.0113,       0.0108,       0.0141,      0.00294,       0.00024861,       2.6812e-08,         0.024861,       0.0161,        0.011,        0.012,       0.0111,       0.0125,     0.000131
       317, 6103.484,     0.01,       0.00029519,       9.3031e-06,         0.029528,       0.0187,       0.0131,       0.0116,       0.0105,       0.0135,      0.00246,       0.00024791,       3.5455e-08,         0.024791,        0.016,        0.011,        0.012,       0.0111,       0.0125,     0.000146
       318, 6122.648,     0.01,       0.00030264,       1.0622e-05,         0.030274,       0.0192,       0.0132,       0.0113,       0.0108,       0.0136,      0.00263,       0.00024765,       3.1469e-08,         0.024765,        0.016,        0.011,        0.012,       0.0111,       0.0125,      0.00014
       319, 6141.825,     0.01,       0.00032244,       1.2376e-05,         0.032256,       0.0197,       0.0139,       0.0115,       0.0109,        0.014,      0.00283,       0.00024791,       3.5324e-08,         0.024791,        0.016,        0.011,        0.012,       0.0111,       0.0125,     0.000149
       320, 6161.345,     0.01,        0.0003052,       7.2915e-06,         0.030527,       0.0187,       0.0133,       0.0117,       0.0112,       0.0138,      0.00218,       0.00024708,       2.7437e-08,         0.024708,        0.016,       0.0109,        0.012,       0.0111,       0.0125,     0.000132
       321, 6180.599,     0.01,       0.00034692,        2.242e-05,         0.034715,       0.0206,       0.0145,       0.0118,       0.0113,       0.0145,      0.00382,       0.00024709,       1.2039e-07,         0.024709,        0.016,        0.011,        0.012,       0.0111,       0.0125,     0.000279
       322, 6199.824,     0.01,       0.00031035,       1.1294e-05,         0.031047,       0.0192,       0.0134,       0.0117,        0.011,       0.0138,      0.00271,       0.00024608,       3.9632e-08,         0.024608,        0.016,       0.0109,        0.012,       0.0111,       0.0125,     0.000158
       323, 6219.018,     0.01,        0.0002927,        9.508e-06,          0.02928,       0.0188,       0.0129,       0.0114,       0.0105,       0.0134,      0.00249,       0.00024519,       3.5889e-08,         0.024519,        0.016,       0.0109,       0.0119,        0.011,       0.0125,     0.000151
       324, 6238.237,     0.01,       0.00031096,       1.0651e-05,         0.031106,       0.0195,       0.0136,       0.0114,       0.0107,       0.0138,      0.00263,       0.00024464,        2.779e-08,         0.024464,       0.0159,       0.0109,        0.012,        0.011,       0.0125,     0.000131
       325, 6257.495,     0.01,       0.00032302,       1.5623e-05,         0.032318,       0.0198,       0.0139,       0.0113,       0.0113,       0.0141,      0.00319,       0.00024459,       3.0524e-08,         0.024459,       0.0159,       0.0109,        0.012,        0.011,       0.0124,     0.000136
       326, 6276.683,     0.01,       0.00029671,       8.4186e-06,         0.029679,       0.0189,       0.0131,       0.0113,       0.0105,       0.0135,      0.00234,        0.0002438,       2.4153e-08,          0.02438,       0.0159,       0.0109,       0.0119,        0.011,       0.0124,     0.000126
       327, 6295.931,     0.01,       0.00032543,       1.2989e-05,         0.032556,       0.0201,       0.0141,       0.0114,       0.0105,        0.014,       0.0029,        0.0002425,       1.1263e-07,         0.024251,       0.0159,       0.0109,       0.0119,        0.011,       0.0124,      0.00027
       328, 6315.122,     0.01,       0.00030706,       1.2311e-05,         0.030719,       0.0194,       0.0134,       0.0113,       0.0107,       0.0137,      0.00283,       0.00024244,       3.7927e-08,         0.024244,       0.0159,       0.0109,       0.0118,        0.011,       0.0124,     0.000153
       329, 6334.325,     0.01,       0.00030231,       8.2215e-06,         0.030239,       0.0192,       0.0135,       0.0113,       0.0103,       0.0136,      0.00231,       0.00024216,       3.1039e-08,         0.024216,       0.0159,       0.0108,       0.0118,        0.011,       0.0124,     0.000139
       330, 6353.522,     0.01,       0.00030732,        1.604e-05,         0.030748,       0.0194,       0.0138,        0.011,       0.0105,       0.0137,      0.00321,       0.00024148,       1.8819e-07,         0.024148,       0.0158,       0.0108,       0.0118,        0.011,       0.0124,     0.000347
       331, 6372.700,     0.01,       0.00032546,       1.1769e-05,         0.032558,       0.0198,       0.0141,       0.0115,        0.011,       0.0141,      0.00277,       0.00024139,       3.1963e-08,         0.024139,       0.0158,       0.0108,       0.0118,        0.011,       0.0124,      0.00014
       332, 6392.097,     0.01,       0.00031251,       1.6074e-05,         0.031268,       0.0192,       0.0135,       0.0116,       0.0112,       0.0139,      0.00323,       0.00024075,       3.4176e-08,         0.024075,       0.0158,       0.0108,       0.0118,        0.011,       0.0124,     0.000146
       333, 6411.338,     0.01,       0.00028716,       9.1135e-06,         0.028725,       0.0183,       0.0127,       0.0115,       0.0108,       0.0133,      0.00243,        0.0002407,       3.1149e-08,          0.02407,       0.0158,       0.0108,       0.0118,        0.011,       0.0124,     0.000139
       334, 6430.549,     0.01,       0.00031223,       1.3082e-05,         0.031237,       0.0193,       0.0135,       0.0114,       0.0113,       0.0139,       0.0029,       0.00024048,       1.0071e-07,         0.024048,       0.0158,       0.0108,       0.0118,        0.011,       0.0123,     0.000253
       335, 6449.737,     0.01,       0.00032677,         1.32e-05,          0.03269,         0.02,       0.0138,       0.0117,       0.0109,       0.0141,      0.00293,       0.00024068,       5.1359e-08,         0.024068,       0.0158,       0.0108,       0.0118,       0.0109,       0.0123,     0.000177
       336, 6468.942,     0.01,       0.00034228,       1.0008e-05,         0.034238,       0.0203,       0.0142,       0.0115,        0.012,       0.0145,      0.00255,       0.00024071,       6.3103e-08,         0.024071,       0.0158,       0.0108,       0.0118,       0.0109,       0.0123,     0.000201
       337, 6488.135,     0.01,       0.00031864,        8.586e-06,         0.031873,       0.0199,        0.014,        0.011,       0.0107,       0.0139,      0.00236,       0.00024001,       3.7058e-08,         0.024001,       0.0158,       0.0108,       0.0118,       0.0109,       0.0123,     0.000155
       338, 6507.351,     0.01,       0.00030869,       8.5544e-06,         0.030878,       0.0192,       0.0134,       0.0115,        0.011,       0.0138,      0.00236,       0.00023963,       3.6892e-08,         0.023963,       0.0158,       0.0108,       0.0118,       0.0109,       0.0123,     0.000152
       339, 6526.539,     0.01,       0.00026864,       1.2392e-05,         0.026877,       0.0178,       0.0124,       0.0111,       0.0102,       0.0129,      0.00284,       0.00023875,       3.2134e-08,         0.023875,       0.0158,       0.0107,       0.0118,       0.0109,       0.0123,     0.000146
       340, 6545.791,     0.01,       0.00031658,       8.6734e-06,         0.031667,       0.0197,       0.0137,       0.0113,       0.0108,       0.0139,      0.00237,       0.00023816,       3.1963e-08,         0.023816,       0.0157,       0.0107,       0.0118,       0.0109,       0.0123,     0.000144
       341, 6564.947,     0.01,       0.00030926,       8.9551e-06,         0.030935,       0.0196,       0.0136,       0.0111,       0.0105,       0.0137,      0.00241,       0.00023753,       3.6252e-08,         0.023753,       0.0157,       0.0107,       0.0117,       0.0109,       0.0123,     0.000154
       342, 6584.126,     0.01,         0.000292,       1.1878e-05,         0.029212,       0.0186,       0.0129,       0.0114,       0.0106,       0.0134,      0.00278,       0.00023764,       2.8922e-08,         0.023764,       0.0157,       0.0107,       0.0117,       0.0109,       0.0123,     0.000135
       343, 6603.302,     0.01,       0.00030428,       1.5106e-05,         0.030443,       0.0194,       0.0135,       0.0111,       0.0104,       0.0136,      0.00313,       0.00023679,       2.7483e-08,         0.023679,       0.0157,       0.0107,       0.0117,       0.0108,       0.0122,     0.000132
       344, 6622.478,     0.01,       0.00029552,       9.7004e-06,         0.029561,       0.0187,        0.013,       0.0115,       0.0109,       0.0135,      0.00251,       0.00023613,       3.2015e-08,         0.023613,       0.0157,       0.0107,       0.0117,       0.0108,       0.0122,     0.000143
       345, 6641.665,     0.01,       0.00030791,       2.0083e-05,         0.030811,       0.0192,       0.0135,       0.0114,       0.0111,       0.0138,      0.00361,       0.00023614,       4.1377e-08,         0.023614,       0.0157,       0.0107,       0.0117,       0.0108,       0.0122,     0.000158
       346, 6660.904,     0.01,       0.00027885,       1.0283e-05,         0.027895,       0.0181,       0.0127,        0.011,       0.0107,       0.0131,      0.00258,       0.00023548,       2.5626e-08,         0.023548,       0.0157,       0.0107,       0.0117,       0.0108,       0.0122,     0.000128
       347, 6680.140,     0.01,       0.00032238,       1.6757e-05,         0.032254,       0.0195,       0.0137,       0.0116,       0.0115,       0.0141,      0.00328,       0.00023533,       6.7093e-08,         0.023533,       0.0157,       0.0107,       0.0117,       0.0108,       0.0122,     0.000203
       348, 6699.354,     0.01,       0.00028922,       1.4857e-05,         0.028937,       0.0186,       0.0128,       0.0114,       0.0105,       0.0133,      0.00311,       0.00023531,       5.0242e-08,         0.023531,       0.0156,       0.0107,       0.0117,       0.0108,       0.0122,     0.000177
       349, 6718.571,     0.01,       0.00031673,       9.3357e-06,         0.031683,       0.0198,       0.0137,       0.0112,       0.0109,       0.0139,      0.00246,       0.00023463,       2.7735e-08,         0.023463,       0.0156,       0.0107,       0.0117,       0.0108,       0.0122,      0.00013
       350, 6737.813,     0.01,       0.00027196,       8.3583e-06,         0.027204,       0.0181,       0.0124,       0.0109,       0.0103,       0.0129,      0.00233,         0.000234,       3.5397e-08,           0.0234,       0.0156,       0.0106,       0.0117,       0.0107,       0.0122,     0.000145
       351, 6757.029,     0.01,       0.00034893,       1.3835e-05,         0.034906,       0.0212,       0.0146,       0.0112,       0.0109,       0.0145,        0.003,       0.00023398,       3.3622e-08,         0.023398,       0.0156,       0.0107,       0.0116,       0.0108,       0.0122,     0.000143
       352, 6776.258,     0.01,       0.00028378,       9.9644e-06,         0.028388,       0.0185,       0.0128,        0.011,       0.0104,       0.0132,      0.00254,       0.00023371,       4.9444e-08,         0.023371,       0.0156,       0.0106,       0.0116,       0.0108,       0.0122,     0.000175
       353, 6795.492,     0.01,       0.00025424,       8.7112e-06,         0.025432,       0.0174,       0.0121,       0.0106,      0.00989,       0.0125,      0.00237,       0.00023254,       3.8423e-08,         0.023254,       0.0156,       0.0106,       0.0116,       0.0107,       0.0121,     0.000156
       354, 6814.681,     0.01,       0.00031253,       1.0988e-05,         0.031264,       0.0194,       0.0134,       0.0115,        0.011,       0.0138,      0.00267,       0.00023311,       3.2777e-08,         0.023311,       0.0156,       0.0106,       0.0117,       0.0107,       0.0121,     0.000145
       355, 6833.890,     0.01,       0.00028283,       1.5083e-05,         0.028298,       0.0185,       0.0128,        0.011,       0.0104,       0.0132,      0.00312,       0.00023249,       5.0114e-08,         0.023249,       0.0155,       0.0106,       0.0116,       0.0107,       0.0121,     0.000177
       356, 6853.106,     0.01,       0.00034685,       1.2976e-05,         0.034698,        0.021,       0.0144,       0.0112,       0.0114,       0.0145,       0.0029,       0.00023285,       3.8362e-08,         0.023285,       0.0156,       0.0106,       0.0116,       0.0107,       0.0121,     0.000155
       357, 6872.270,     0.01,       0.00026706,       9.7276e-06,         0.026715,       0.0179,       0.0124,       0.0109,       0.0102,       0.0128,      0.00251,        0.0002315,       2.8466e-08,          0.02315,       0.0155,       0.0106,       0.0116,       0.0107,       0.0121,     0.000132
       358, 6891.510,     0.01,       0.00028585,        1.571e-05,         0.028601,       0.0189,       0.0132,       0.0106,         0.01,       0.0132,       0.0032,       0.00023061,        4.047e-08,         0.023061,       0.0155,       0.0106,       0.0115,       0.0107,       0.0121,     0.000161
       359, 6910.725,     0.01,       0.00027378,       9.1279e-06,         0.027387,       0.0181,       0.0127,       0.0108,       0.0103,        0.013,      0.00243,       0.00023026,       3.3121e-08,         0.023027,       0.0155,       0.0105,       0.0116,       0.0107,       0.0121,     0.000145
       360, 6929.931,     0.01,       0.00028916,       1.0185e-05,         0.028926,       0.0187,       0.0128,       0.0109,       0.0109,       0.0133,      0.00257,       0.00023013,        2.534e-08,         0.023013,       0.0155,       0.0105,       0.0116,       0.0107,       0.0121,     0.000127
       361, 6949.118,     0.01,       0.00027723,       7.8066e-06,          0.02773,       0.0182,       0.0128,       0.0106,       0.0106,        0.013,      0.00225,       0.00022978,       4.4034e-08,         0.022978,       0.0155,       0.0105,       0.0115,       0.0107,       0.0121,     0.000168
       362, 6968.308,     0.01,       0.00030682,       1.0573e-05,         0.030693,       0.0194,       0.0139,       0.0109,       0.0105,       0.0137,      0.00262,       0.00023012,       3.9891e-08,         0.023012,       0.0155,       0.0105,       0.0115,       0.0107,       0.0121,     0.000159
       363, 6987.464,     0.01,       0.00028998,        1.009e-05,         0.029008,       0.0188,        0.013,       0.0108,       0.0107,       0.0133,      0.00256,       0.00022926,       2.2708e-08,         0.022926,       0.0155,       0.0105,       0.0115,       0.0107,        0.012,      0.00012
       364, 7006.706,     0.01,       0.00027464,       1.0447e-05,         0.027475,       0.0183,       0.0127,       0.0106,       0.0102,        0.013,       0.0026,       0.00022882,       2.5329e-08,         0.022882,       0.0155,       0.0105,       0.0115,       0.0106,        0.012,     0.000127
       365, 7025.947,     0.01,        0.0003325,        1.804e-05,         0.033268,       0.0204,       0.0146,        0.011,       0.0107,       0.0142,      0.00342,       0.00022902,       4.9443e-08,         0.022902,       0.0154,       0.0105,       0.0115,       0.0107,        0.012,     0.000175
       366, 7045.124,     0.01,       0.00026574,       7.1472e-06,         0.026581,       0.0179,       0.0125,       0.0105,       0.0102,       0.0128,      0.00215,       0.00022775,       2.5067e-08,         0.022775,       0.0154,       0.0105,       0.0115,       0.0106,        0.012,     0.000129
       367, 7064.313,     0.01,       0.00029849,       1.3632e-05,         0.029862,       0.0193,       0.0135,       0.0109,       0.0101,       0.0134,      0.00298,       0.00022678,       7.7639e-08,         0.022678,       0.0154,       0.0105,       0.0114,       0.0106,        0.012,     0.000222
       368, 7083.484,     0.01,        0.0002686,       1.2753e-05,         0.026873,       0.0178,       0.0124,       0.0109,       0.0104,       0.0129,      0.00288,        0.0002269,       2.9363e-08,          0.02269,       0.0154,       0.0105,       0.0114,       0.0106,        0.012,     0.000133
       369, 7102.642,     0.01,        0.0002937,       1.1317e-05,         0.029381,       0.0189,       0.0132,        0.011,       0.0106,       0.0134,      0.00271,       0.00022663,       5.5802e-08,         0.022663,       0.0154,       0.0105,       0.0114,       0.0106,        0.012,     0.000185
       370, 7121.834,     0.01,       0.00031219,       1.1375e-05,          0.03123,         0.02,       0.0139,       0.0108,       0.0102,       0.0137,      0.00272,       0.00022604,       3.2754e-08,         0.022604,       0.0154,       0.0105,       0.0114,       0.0106,        0.012,     0.000144
       371, 7141.068,     0.01,       0.00031095,       9.9129e-06,         0.031105,       0.0194,       0.0134,       0.0116,       0.0108,       0.0138,      0.00254,       0.00022608,       2.8593e-08,         0.022608,       0.0154,       0.0105,       0.0114,       0.0106,        0.012,     0.000133
       372, 7160.287,     0.01,       0.00027415,       7.2277e-06,         0.027423,       0.0183,       0.0127,       0.0106,       0.0101,       0.0129,      0.00217,       0.00022627,       4.2956e-08,         0.022627,       0.0154,       0.0104,       0.0114,       0.0106,        0.012,     0.000163
       373, 7179.500,     0.01,       0.00025578,       1.0234e-05,         0.025589,       0.0174,       0.0119,       0.0109,       0.0101,       0.0126,      0.00257,       0.00022542,       2.4434e-08,         0.022542,       0.0154,       0.0104,       0.0114,       0.0106,       0.0119,     0.000126
       374, 7198.748,     0.01,       0.00029517,       1.2188e-05,         0.029529,       0.0187,       0.0127,        0.011,       0.0117,       0.0135,      0.00281,       0.00022496,        2.578e-08,         0.022496,       0.0154,       0.0104,       0.0114,       0.0105,       0.0119,     0.000127
       375, 7217.972,     0.01,       0.00028488,       1.2863e-05,         0.028501,       0.0186,        0.013,       0.0108,       0.0103,       0.0132,      0.00289,       0.00022439,       3.3117e-08,         0.022439,       0.0153,       0.0104,       0.0114,       0.0105,       0.0119,     0.000142
       376, 7237.168,     0.01,       0.00031644,       1.3766e-05,         0.031658,         0.02,        0.014,       0.0107,       0.0106,       0.0138,      0.00299,       0.00022514,         5.79e-08,         0.022514,       0.0153,       0.0104,       0.0114,       0.0106,       0.0119,     0.000194
       377, 7256.395,     0.01,       0.00027101,         1.16e-05,         0.027113,       0.0181,       0.0125,       0.0106,       0.0102,       0.0129,      0.00275,       0.00022451,       2.4649e-08,         0.022451,       0.0153,       0.0104,       0.0114,       0.0106,       0.0119,     0.000126
       378, 7275.648,     0.01,       0.00026441,       2.2235e-05,         0.026463,       0.0176,       0.0124,       0.0109,       0.0103,       0.0128,       0.0038,       0.00022368,       2.9502e-08,         0.022368,       0.0153,       0.0104,       0.0114,       0.0105,       0.0119,     0.000136
       379, 7294.850,     0.01,       0.00028643,        7.881e-06,         0.028651,       0.0185,       0.0129,        0.011,       0.0107,       0.0133,      0.00226,       0.00022366,       4.2439e-08,         0.022366,       0.0153,       0.0104,       0.0113,       0.0105,       0.0119,     0.000165
       380, 7314.074,     0.01,       0.00026387,       9.0254e-06,         0.026396,       0.0178,       0.0124,       0.0104,       0.0103,       0.0127,      0.00242,       0.00022224,        2.416e-08,         0.022224,       0.0153,       0.0104,       0.0113,       0.0104,       0.0119,     0.000124
       381, 7333.266,     0.01,       0.00027917,       1.4358e-05,         0.027931,       0.0183,       0.0127,        0.011,       0.0102,       0.0131,      0.00304,       0.00022249,       3.8685e-08,         0.022249,       0.0153,       0.0104,       0.0113,       0.0104,       0.0119,     0.000157
       382, 7352.415,     0.01,       0.00028396,       1.2147e-05,         0.028408,       0.0186,       0.0129,       0.0106,       0.0105,       0.0132,      0.00281,       0.00022272,        2.622e-08,         0.022272,       0.0153,       0.0104,       0.0114,       0.0105,       0.0119,     0.000129
       383, 7371.580,     0.01,       0.00030569,       1.1307e-05,          0.03058,       0.0194,       0.0132,       0.0112,       0.0108,       0.0137,      0.00271,       0.00022268,       2.4274e-08,         0.022268,       0.0153,       0.0104,       0.0113,       0.0105,       0.0119,     0.000125
       384, 7390.805,     0.01,       0.00028132,       9.1689e-06,         0.028142,       0.0183,       0.0126,        0.011,       0.0107,       0.0132,      0.00244,       0.00022194,       2.6517e-08,         0.022194,       0.0153,       0.0104,       0.0113,       0.0104,       0.0118,     0.000126
       385, 7410.029,     0.01,       0.00026538,       1.1175e-05,         0.026549,       0.0178,       0.0123,       0.0109,       0.0102,       0.0128,       0.0027,       0.00022144,       2.4752e-08,         0.022144,       0.0153,       0.0104,       0.0113,       0.0104,       0.0118,     0.000122
       386, 7429.228,     0.01,        0.0002901,       8.7341e-06,         0.029019,        0.019,       0.0132,       0.0108,       0.0101,       0.0133,      0.00238,       0.00022131,       5.0434e-08,         0.022131,       0.0152,       0.0103,       0.0113,       0.0104,       0.0118,     0.000181
       387, 7448.717,     0.01,       0.00027182,       1.3561e-05,         0.027196,       0.0181,       0.0125,       0.0108,       0.0104,       0.0129,      0.00297,       0.00022106,       5.7851e-08,         0.022106,       0.0152,       0.0103,       0.0113,       0.0104,       0.0118,      0.00019
       388, 7467.924,     0.01,       0.00030134,       1.4862e-05,         0.030149,       0.0195,       0.0137,       0.0107,       0.0101,       0.0135,      0.00311,       0.00022073,       2.7971e-08,         0.022073,       0.0152,       0.0103,       0.0113,       0.0104,       0.0118,     0.000131
       389, 7487.191,     0.01,       0.00026879,       1.6142e-05,         0.026895,        0.018,       0.0128,       0.0107,      0.00993,       0.0128,      0.00324,       0.00022071,       2.9095e-08,         0.022071,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,     0.000136
       390, 7506.439,     0.01,       0.00027012,       1.8193e-05,         0.027031,       0.0181,       0.0127,       0.0105,       0.0102,       0.0129,      0.00344,       0.00022004,       2.2112e-08,         0.022004,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,     0.000119
       391, 7525.678,     0.01,       0.00030515,       1.3033e-05,         0.030528,       0.0195,       0.0133,        0.011,       0.0108,       0.0136,      0.00291,       0.00022159,       7.5545e-08,         0.022159,       0.0152,       0.0103,       0.0113,       0.0105,       0.0118,     0.000216
       392, 7544.845,     0.01,       0.00026511,       1.4996e-05,         0.026526,       0.0178,       0.0127,       0.0106,      0.00981,       0.0127,      0.00312,       0.00022042,       2.3338e-08,         0.022042,       0.0152,       0.0103,       0.0113,       0.0104,       0.0118,     0.000121
       393, 7564.014,     0.01,       0.00026718,       1.2263e-05,          0.02673,       0.0181,       0.0126,       0.0106,      0.00987,       0.0128,      0.00282,       0.00021966,       3.5362e-08,         0.021966,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,     0.000148
       394, 7583.186,     0.01,       0.00027805,       1.2544e-05,         0.027817,       0.0185,       0.0129,       0.0105,       0.0102,        0.013,      0.00286,       0.00021947,       4.7016e-08,         0.021947,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,     0.000171
       395, 7602.382,     0.01,       0.00026094,       1.1992e-05,         0.026106,       0.0175,       0.0121,       0.0108,       0.0103,       0.0127,      0.00279,       0.00021907,       2.9816e-08,         0.021907,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,      0.00014
       396, 7621.612,     0.01,       0.00031862,       1.3592e-05,         0.031876,       0.0204,       0.0142,       0.0105,         0.01,       0.0138,      0.00296,       0.00021918,         3.19e-08,         0.021919,       0.0152,       0.0103,       0.0112,       0.0104,       0.0118,     0.000144
       397, 7640.781,     0.01,       0.00024778,       8.0181e-06,         0.024786,       0.0172,        0.012,       0.0103,         0.01,       0.0123,      0.00228,       0.00021876,        2.359e-08,         0.021876,       0.0152,       0.0103,       0.0112,       0.0104,       0.0117,     0.000125
       398, 7659.951,     0.01,       0.00026457,       1.2138e-05,         0.026469,       0.0179,       0.0124,       0.0106,         0.01,       0.0127,      0.00281,       0.00021744,       5.6335e-08,         0.021744,       0.0151,       0.0102,       0.0112,       0.0103,       0.0117,     0.000189
       399, 7679.128,     0.01,       0.00030199,       1.0739e-05,          0.03021,       0.0197,       0.0138,       0.0105,      0.00981,       0.0134,      0.00264,       0.00021734,       3.6559e-08,         0.021734,       0.0151,       0.0102,       0.0112,       0.0103,       0.0117,      0.00015
       400, 7698.307,     0.01,       0.00029996,       1.5435e-05,         0.030012,       0.0193,       0.0135,       0.0108,       0.0104,       0.0135,      0.00317,       0.00021732,       2.6145e-08,         0.021732,       0.0151,       0.0103,       0.0111,       0.0103,       0.0117,     0.000131
       401, 7717.528,     0.01,       0.00024694,       1.4012e-05,         0.024708,       0.0173,       0.0121,       0.0101,      0.00969,       0.0123,      0.00301,        0.0002164,       5.9682e-08,          0.02164,       0.0151,       0.0102,       0.0111,       0.0103,       0.0117,     0.000193
       402, 7736.729,     0.01,         0.000265,       7.9773e-06,         0.026508,       0.0178,       0.0126,       0.0106,         0.01,       0.0128,      0.00227,       0.00021624,       2.3148e-08,         0.021624,       0.0151,       0.0102,       0.0112,       0.0103,       0.0117,     0.000121
